area,rank,title
Semantic segmentation,1,The surprising impact of mask-head architecture on novel class segmentation
Semantic segmentation,2,Searching for MobileNetV3
Semantic segmentation,3,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Semantic segmentation,4,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Semantic segmentation,5,Rethinking Atrous Convolution for Semantic Image Segmentation
Semantic segmentation,6,Pyramid Scene Parsing Network
Semantic segmentation,7,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
Semantic segmentation,8,Deep Residual Learning for Image Recognition
Semantic segmentation,9,ParseNet: Looking Wider to See Better
Semantic segmentation,10,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
Semantic segmentation,11,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation
Semantic segmentation,12,FEELVOS: Fast End-to-End Embedding Learning for Video Object Segmentation
Semantic segmentation,13,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Semantic segmentation,14,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Semantic segmentation,15,Mask R-CNN
Semantic segmentation,16,BEiT: BERT Pre-Training of Image Transformers
Semantic segmentation,17,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers
Semantic segmentation,18,Learning to Segment Every Thing
Semantic segmentation,19,Pointly-Supervised Instance Segmentation
Semantic segmentation,20,Panoptic-DeepLab
Semantic segmentation,21,TensorMask: A Foundation for Dense Object Segmentation
Semantic segmentation,22,PointRend: Image Segmentation as Rendering
Semantic segmentation,23,Panoptic Feature Pyramid Networks
Semantic segmentation,24,Path Aggregation Network for Instance Segmentation
Semantic segmentation,25,A novel Region of Interest Extraction Layer for Instance Segmentation
Semantic segmentation,26,Seesaw Loss for Long-Tailed Instance Segmentation
Semantic segmentation,27,FCOS: A simple and strong anchor-free object detector
Semantic segmentation,28,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution
Semantic segmentation,29,ResNeSt: Split-Attention Networks
Semantic segmentation,30,CentripetalNet: Pursuing High-quality Keypoint Pairs for Object Detection
Semantic segmentation,31,CBNet: A Novel Composite Backbone Network Architecture for Object Detection
Semantic segmentation,32,Deep High-Resolution Representation Learning for Visual Recognition
Semantic segmentation,33,MMDetection: Open MMLab Detection Toolbox and Benchmark
Semantic segmentation,34,CARAFE: Content-Aware ReAssembly of FEatures
Semantic segmentation,35,YOLACT: Real-time Instance Segmentation
Semantic segmentation,36,Mask Scoring R-CNN
Semantic segmentation,37,Hybrid Task Cascade for Instance Segmentation
Semantic segmentation,38,"Deformable ConvNets v2: More Deformable, Better Results"
Semantic segmentation,39,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Semantic segmentation,40,XCiT: Cross-Covariance Image Transformers
Semantic segmentation,41,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Semantic segmentation,42,Co-Scale Conv-Attentional Image Transformers
Semantic segmentation,43,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Semantic segmentation,44,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Semantic segmentation,45,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Semantic segmentation,46,RepVGG: Making VGG-style ConvNets Great Again
Semantic segmentation,47,Evolving Normalization-Activation Layers
Semantic segmentation,48,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Semantic segmentation,49,Bag of Tricks for Image Classification with Convolutional Neural Networks
